category,title,slug,material_type,status,priority,official_title_or_number,source_url,notes
Objektivat për Integrimin në BE,Marrëveshja e Ohrit / Brukselit,marreveshja-e-ohrit-brukselit,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Marr%C3%ABveshja%20e%20Ohrit%20/%20Brukselit&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Asociacioni i Komunave me Shumicë Serbe,asociacioni-i-komunave-me-shumice-serbe,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Asociacioni%20i%20Komunave%20me%20Shumic%C3%AB%20Serbe&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,"Anëtarësim në organizata ndërkombëtare (KE, OKB, NATO, etj.)",anetaresim-ne-organizata-nderkombetare-ke-okb-nato-etj,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=An%C3%ABtar%C3%ABsim%20n%C3%AB%20organizata%20nd%C3%ABrkomb%C3%ABtare%20%28KE%2C%20OKB%2C%20NATO%2C%20etj.%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Programi IPA III (Instrumenti për Asistencë Para-Anëtarësim),programi-ipa-iii-instrumenti-per-asistence-para-anetaresim,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Programi%20IPA%20III%20%28Instrumenti%20p%C3%ABr%20Asistenc%C3%AB%20Para-An%C3%ABtar%C3%ABsim%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,"Pjesëmarrja në programet e BE-së (Erasmus+, Horizon Europe, Creative Europe)",pjesemarrja-ne-programet-e-be-se-erasmus-horizon-europe-creative-europe,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Pjes%C3%ABmarrja%20n%C3%AB%20programet%20e%20BE-s%C3%AB%20%28Erasmus%2B%2C%20Horizon%20Europe%2C%20Creative%20Europe%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,SEPA — Single Euro Payments Area,sepa-single-euro-payments-area,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=SEPA%20%E2%80%94%20Single%20Euro%20Payments%20Area&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Roaming i lirë me BE-në,roaming-i-lire-me-be-ne,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Roaming%20i%20lir%C3%AB%20me%20BE-n%C3%AB&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Aktet Themelore,Kushtetuta e Republikës së Kosovës (me të gjitha amendamentet),kushtetuta-e-republikes-se-kosoves-me-te-gjitha-amendamentet,law_or_document,verified_source,high,K-09042008,https://gzk.rks-gov.net/ActDetail.aspx?ActID=3702,Burim zyrtar i verifikuar ose status i sqaruar.
Aktet Themelore,Kodi Penal i Kosovës,kodi-penal-i-kosoves,law_or_document,verified_source,high,06/L-074,https://gzk.rks-gov.net/ActDetail.aspx?ActID=116031,Burim zyrtar i verifikuar ose status i sqaruar.
Aktet Themelore,Kodi i Procedurës Penale,kodi-i-procedures-penale,law_or_document,verified_source,high,08/L-032,https://gzk.rks-gov.net/ActDetail.aspx?ActID=61759,Burim zyrtar i verifikuar ose status i sqaruar.
Aktet Themelore,Kodi Civil i Kosovës,kodi-civil-i-kosoves,law_or_document,project_not_active_law,high,Projektkod,https://md.rks-gov.net/wp-content/uploads/2024/06/A1CCB78F-9020-41D5-826E-14D67A90F369.pdf,Burim zyrtar i verifikuar ose status i sqaruar.
Aktet Themelore,Kodi i Procedurës Civile,kodi-i-procedures-civile,law_or_document,verified_as_procedure_contested,high,03/L-006,https://gzk.rks-gov.net/ActDetail.aspx?ActID=2583,Burim zyrtar i verifikuar ose status i sqaruar.
Aktet Themelore,Ligji për Procedurën e Përgjithshme Administrative,ligji-per-proceduren-e-pergjithshme-administrative,law_or_document,verified_source,high,05/L-031,https://gzk.rks-gov.net/ActDetail.aspx?ActID=12559&langid=1,Burim zyrtar i verifikuar ose status i sqaruar.
Aktet Themelore,Kodi Doganor dhe i Akcizave,kodi-doganor-dhe-i-akcizave,law_or_document,verified_source,high,08/L-247,https://gzk.rks-gov.net/ActDetail.aspx?ActID=89203,Burim zyrtar i verifikuar ose status i sqaruar.
Aktet Themelore,Kodi Rrugor,kodi-rrugor,law_or_document,verified_as_road_traffic_rules,high,08/L-186,https://gzk.rks-gov.net/ActDetail.aspx?ActID=87975,Burim zyrtar i verifikuar ose status i sqaruar.
Ligje me Ndikim Direkt te Qytetarët,Ligji i Punës (dhe amendamentet),ligji-i-punes-dhe-amendamentet,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20i%20Pun%C3%ABs%20%28dhe%20amendamentet%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Tatimin mbi Vlerën e Shtuar (TVSH),ligji-per-tatimin-mbi-vleren-e-shtuar-tvsh,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Tatimin%20mbi%20Vler%C3%ABn%20e%20Shtuar%20%28TVSH%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Tatimin në të Ardhura Personale,ligji-per-tatimin-ne-te-ardhura-personale,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Tatimin%20n%C3%AB%20t%C3%AB%20Ardhura%20Personale&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Tatimin në të Ardhura të Korporatave,ligji-per-tatimin-ne-te-ardhura-te-korporatave,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Tatimin%20n%C3%AB%20t%C3%AB%20Ardhura%20t%C3%AB%20Korporatave&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Sigurimet Shëndetësore,ligji-per-sigurimet-shendetesore,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Sigurimet%20Sh%C3%ABndet%C3%ABsore&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Sigurimin Pensional,ligji-per-sigurimin-pensional,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Sigurimin%20Pensional&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Familjen,ligji-per-familjen,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Familjen&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Trashëgiminë,ligji-per-trashegimine,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Trash%C3%ABgimin%C3%AB&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Pronësinë dhe të Drejtat e Tjera Sendore,ligji-per-pronesine-dhe-te-drejtat-e-tjera-sendore,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Pron%C3%ABsin%C3%AB%20dhe%20t%C3%AB%20Drejtat%20e%20Tjera%20Sendore&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Mbrojtjen e Konsumatorit,ligji-per-mbrojtjen-e-konsumatorit,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Mbrojtjen%20e%20Konsumatorit&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Mbrojtjen nga Diskriminimi,ligji-per-mbrojtjen-nga-diskriminimi,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Mbrojtjen%20nga%20Diskriminimi&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Barazinë Gjinore,ligji-per-barazine-gjinore,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Barazin%C3%AB%20Gjinore&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Mbrojtjen e Fëmijës,ligji-per-mbrojtjen-e-femijes,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Mbrojtjen%20e%20F%C3%ABmij%C3%ABs&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Personat me Aftësi të Kufizuara,ligji-per-personat-me-aftesi-te-kufizuara,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Personat%20me%20Aft%C3%ABsi%20t%C3%AB%20Kufizuara&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Banimin,ligji-per-banimin,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Banimin&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Shtetësinë,ligji-per-shtetesine,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Shtet%C3%ABsin%C3%AB&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për të Huajt,ligji-per-te-huajt,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20t%C3%AB%20Huajt&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Azilin,ligji-per-azilin,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Azilin&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,"Ligji për Statusin Civil (lindje, martesë, vdekje)",ligji-per-statusin-civil-lindje-martese-vdekje,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Statusin%20Civil%20%28lindje%2C%20martes%C3%AB%2C%20vdekje%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Asistencën Sociale,ligji-per-asistencen-sociale,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Asistenc%C3%ABn%20Sociale&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Punësimin e Personave me Aftësi të Kufizuara,ligji-per-punesimin-e-personave-me-aftesi-te-kufizuara,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Pun%C3%ABsimin%20e%20Personave%20me%20Aft%C3%ABsi%20t%C3%AB%20Kufizuara&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Veteranët e UÇK-së,ligji-per-veteranet-e-uck-se,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Veteran%C3%ABt%20e%20U%C3%87K-s%C3%AB&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Familjet e Dëshmorëve,ligji-per-familjet-e-deshmoreve,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Familjet%20e%20D%C3%ABshmor%C3%ABve&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Personat me Statusin e Viktimës së Dhunës Seksuale gjatë Luftës,ligji-per-personat-me-statusin-e-viktimes-se-dhunes-seksuale-gjate-luftes,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Personat%20me%20Statusin%20e%20Viktim%C3%ABs%20s%C3%AB%20Dhun%C3%ABs%20Seksuale%20gjat%C3%AB%20Luft%C3%ABs&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Ligje me Ndikim Direkt te Qytetarët,Ligji për Mbrojtjen nga Dhuna në Familje,ligji-per-mbrojtjen-nga-dhuna-ne-familje,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Mbrojtjen%20nga%20Dhuna%20n%C3%AB%20Familje&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Arsimin Parauniversitar,ligji-per-arsimin-parauniversitar,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Arsimin%20Parauniversitar&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Arsimin e Lartë,ligji-per-arsimin-e-larte,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Arsimin%20e%20Lart%C3%AB&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Arsimin Profesional,ligji-per-arsimin-profesional,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Arsimin%20Profesional&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Arsimin e të Rriturve,ligji-per-arsimin-e-te-rriturve,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Arsimin%20e%20t%C3%AB%20Rriturve&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Shkencën dhe Hulumtimin,ligji-per-shkencen-dhe-hulumtimin,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Shkenc%C3%ABn%20dhe%20Hulumtimin&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Inspektoratin e Arsimit,ligji-per-inspektoratin-e-arsimit,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Inspektoratin%20e%20Arsimit&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Kulturën,ligji-per-kulturen,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Kultur%C3%ABn&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Trashëgiminë Kulturore,ligji-per-trashegimine-kulturore,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Trash%C3%ABgimin%C3%AB%20Kulturore&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Bibliotekat,ligji-per-bibliotekat,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Bibliotekat&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Muzetë,ligji-per-muzete,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Muzet%C3%AB&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
"Arsim, Kulturë, Rini, Sport",Ligji për Rininë,ligji-per-rinine,law_or_document,to_collect,medium,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Ligji%20p%C3%ABr%20Rinin%C3%AB&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
